iter	F1	Logloss
0	0.6041014309	0.691269197
1	0.62059158	0.689537673
2	0.6244805906	0.6878739314
3	0.6261203038	0.6862793729
4	0.6244200022	0.684785593
5	0.622706215	0.6833490117
6	0.623941291	0.6819429364
7	0.6284352049	0.6806195074
8	0.6263190178	0.6793663509
9	0.6274370858	0.6781600429
10	0.6263206512	0.6769787156
11	0.6265406718	0.6758352872
12	0.6258747074	0.6747831432
13	0.6266021282	0.6737028278
14	0.6256337212	0.6727320849
15	0.626384518	0.6717457777
16	0.6269832095	0.6707705212
17	0.6280470966	0.6698762766
18	0.6272922708	0.6690678689
19	0.6269873369	0.6682916014
20	0.6267429277	0.6675694975
21	0.6262851624	0.6668232691
22	0.6261378052	0.6661189085
23	0.6261184053	0.6654640422
24	0.6265394438	0.6648064522
25	0.6261741977	0.6641850491
26	0.6261582652	0.6636245801
27	0.6263380186	0.6630608426
28	0.6262280704	0.6625340702
29	0.6255802436	0.661989321
30	0.6252724741	0.6614978795
31	0.6253057216	0.6610197454
32	0.6257424396	0.6605910279
33	0.6258578428	0.6601241001
34	0.6256067165	0.6596725809
35	0.6257170474	0.6592626961
36	0.6256610994	0.6588426167
37	0.6259099363	0.6584102415
38	0.6259239281	0.6580242479
39	0.6262236718	0.6576477484
40	0.6262304799	0.6573064242
41	0.6264903913	0.6569584851
42	0.6263986452	0.6566377057
43	0.626208352	0.6563405062
44	0.6262778551	0.6559939679
45	0.6262956503	0.6556911652
46	0.6261758651	0.6554062614
47	0.6268739427	0.6551028362
48	0.6268298198	0.6548327184
49	0.6269617785	0.6545784762
50	0.6269074918	0.6543459462
51	0.6269389582	0.6540811203
52	0.6270056956	0.6538094461
53	0.6270505768	0.6535529471
54	0.6271319697	0.6533159034
55	0.6270422947	0.6531008832
56	0.6275376356	0.6528604932
57	0.6278272589	0.6526246168
58	0.6283340302	0.6523190904
59	0.6288648525	0.6520019686
60	0.6290471066	0.6517942246
61	0.6293770514	0.651514457
62	0.6295021727	0.6513223551
63	0.629723718	0.6511276073
64	0.6299940181	0.6507817695
65	0.6304998093	0.6505593562
66	0.630807594	0.6503660091
67	0.6311857578	0.6501999774
68	0.6315214833	0.6499844902
69	0.6315523765	0.6498204818
70	0.6318211384	0.6495886522
71	0.6322674524	0.649361375
72	0.632270492	0.649190674
73	0.6322874961	0.6490005177
74	0.6324128894	0.648816587
75	0.6323922431	0.6485103213
76	0.6324990531	0.6483610211
77	0.6326806146	0.6482097754
78	0.6328736525	0.6480523429
79	0.6330385715	0.6478388013
80	0.6334977545	0.6475840143
81	0.6339424346	0.6474244807
82	0.6342063205	0.6472111336
83	0.6343567057	0.6470425337
84	0.6344439139	0.6468663074
85	0.6350853553	0.6465105084
86	0.6352276721	0.6462732312
87	0.6356750363	0.6459577437
88	0.6362810176	0.6456852135
89	0.6365932999	0.6455077031
90	0.6367386486	0.6453708543
91	0.6368119199	0.6452440445
92	0.6368929687	0.6450695691
93	0.6371757688	0.6449199966
94	0.6376462158	0.6446109293
95	0.6378618852	0.6444669599
96	0.6378796095	0.6443568816
97	0.6380192823	0.6442239629
98	0.6380034725	0.6440959468
99	0.6382598461	0.6438811211
100	0.6387932496	0.6435910811
101	0.6390769432	0.6434392128
102	0.6391950748	0.6432628698
103	0.6392910483	0.6431292117
104	0.6393851368	0.6430374604
105	0.6393228284	0.6429536468
106	0.639554838	0.6428397943
107	0.6398621954	0.6426781594
108	0.6397897854	0.6425853186
109	0.6399820006	0.6424541119
110	0.6402894926	0.6422525158
111	0.6402103857	0.6421611147
112	0.6403305281	0.6420676513
113	0.6405998307	0.641963721
114	0.6405649696	0.6418760553
115	0.6406846176	0.6416450816
116	0.6409424628	0.641531268
117	0.6413863996	0.6412415393
118	0.6416071865	0.641108815
119	0.6416865791	0.6410192427
120	0.6418444947	0.6409108766
121	0.6422436307	0.6406885022
122	0.6424653793	0.6405488129
123	0.642492433	0.6404562445
124	0.6429186085	0.6402223137
125	0.6431495956	0.6401255429
126	0.6431121715	0.6400577605
127	0.6430504138	0.6399558146
128	0.6431333103	0.6398554251
129	0.6431586429	0.6397535181
130	0.6431885719	0.6396845685
131	0.64355375	0.6394337115
132	0.6436682089	0.6392310259
133	0.64399912	0.6391059671
134	0.6445160557	0.6388441762
135	0.6447135941	0.6386675219
136	0.6447334716	0.638590401
137	0.6448289781	0.6384161202
138	0.6450391919	0.638247637
139	0.6449532347	0.6381710998
140	0.6451891986	0.6380753796
141	0.645469874	0.6379643286
142	0.6455260392	0.6377988027
143	0.645792261	0.6376408643
144	0.6458891069	0.6375412142
145	0.6461249318	0.6373566999
146	0.6462659486	0.6372324971
147	0.6461935521	0.6370277881
148	0.6462633693	0.6369762315
149	0.6462980464	0.6368724179
150	0.646298762	0.6368037795
151	0.6464628403	0.6367299271
152	0.6466209736	0.6366599657
153	0.646798477	0.6365884869
154	0.6469189962	0.6365231559
155	0.6469828096	0.6364519883
156	0.6469886213	0.6363692643
157	0.6471184967	0.6362830383
158	0.6471578571	0.6362215983
159	0.6472233764	0.6361753725
160	0.6472742558	0.6360982127
161	0.6473296679	0.6360150217
162	0.6473991791	0.6358965777
163	0.6477199984	0.6357623748
164	0.6477680955	0.6356435806
165	0.647875144	0.6355794948
166	0.6480152817	0.63551537
167	0.6480907256	0.6354645138
168	0.6480962282	0.6353940855
169	0.6481560628	0.6353168479
170	0.6481647399	0.6352563029
171	0.6483231232	0.6351902715
172	0.6484946522	0.6350448235
173	0.6488434806	0.6349028775
174	0.6489608728	0.6348487138
175	0.6489755824	0.634764161
176	0.6490429981	0.6347133048
177	0.6494286852	0.6345141211
178	0.6495323494	0.6344539653
179	0.6497813939	0.6342531085
180	0.6497850783	0.6341950149
181	0.6498491541	0.6341452093
182	0.6499624711	0.6340246641
