iter	Passed	Remaining
0	134	402898
1	238	358009
2	308	307993
3	408	306247
4	577	346189
5	672	335556
6	784	335427
7	928	347096
8	1086	361192
9	1253	374735
10	1385	376422
11	1517	377905
12	1659	381392
13	1845	393522
14	1964	390959
15	2023	377316
16	2137	375071
17	2254	373418
18	2348	368491
19	2430	362193
20	2627	372712
21	2819	381678
22	2929	379232
23	3041	377147
24	3153	375313
25	3247	371415
26	3372	371370
27	3526	374363
28	3671	376174
29	3793	375518
30	3893	372908
31	4012	372135
32	4163	374330
33	4350	379551
34	4511	382168
35	4685	385806
36	4857	389017
37	5032	392304
38	5166	392249
39	5333	394688
40	5466	394545
41	5594	393992
42	5771	396876
43	5897	396176
44	6055	397652
45	6210	398791
46	6356	399397
47	6458	397185
48	6564	395321
49	6707	395717
50	6860	396714
51	6954	394287
52	7072	393233
53	7181	391777
54	7297	390750
55	7452	391794
56	7643	394628
57	7833	397363
58	7896	393629
59	7992	391621
60	8122	391365
61	8224	389720
62	8379	390657
63	8520	390896
64	8675	391728
65	8829	392514
66	8976	392944
67	9128	393614
68	9251	392968
69	9326	390397
70	9487	391397
71	9597	390313
72	9756	391190
73	9915	392074
74	10080	393144
75	10186	391917
76	10301	391070
77	10422	390438
78	10526	389210
79	10618	387574
80	10769	388091
81	10970	390383
82	11168	392528
83	11355	394214
84	11509	394706
85	11633	394190
86	11712	392153
87	11817	391066
88	11996	392391
89	12152	392914
90	12309	393493
91	12440	393240
92	12581	393282
93	12755	394348
94	12853	393052
95	12970	392359
96	13107	392280
97	13244	392189
98	13369	391771
99	13551	392996
100	13671	392426
101	13771	391284
102	13854	389674
103	13963	388824
104	14115	389185
105	14296	390314
106	14462	391039
107	14589	390677
108	14734	390789
109	14869	390649
110	14996	390323
111	15167	391098
112	15350	392195
113	15465	391529
114	15544	389973
115	15690	390102
116	15848	390522
117	15993	390610
118	16113	390108
119	16256	390150
120	16428	390895
121	16586	391285
122	16674	390019
123	16791	389455
124	16894	388579
125	16979	387297
126	17056	385845
127	17173	385324
128	17313	385325
129	17444	385110
130	17555	384488
131	17659	383688
132	17774	383144
133	17921	383315
134	18031	382659
135	18163	382495
136	18272	381856
137	18352	380620
138	18415	379037
139	18533	378621
140	18674	378661
141	18826	378920
142	18950	378610
143	19065	378125
144	19213	378301
145	19339	378041
146	19435	377211
147	19560	376932
148	19648	375956
149	19745	375169
150	19894	375355
151	20032	375347
152	20203	375951
153	20337	375847
154	20452	375398
155	20567	374961
156	20663	374186
157	20752	373280
158	20905	373529
159	21040	373461
160	21189	373652
161	21351	374054
162	21482	373908
163	21609	373687
164	21750	373707
165	21876	373478
166	21999	373194
167	22145	373309
168	22309	373714
169	22468	374040
170	22599	373885
171	22718	373537
172	22817	372859
173	22904	371999
174	22992	371168
175	23124	371043
176	23274	371211
177	23390	370831
178	23573	371518
179	23714	371526
180	23852	371493
181	24036	372174
182	24196	372460
183	24312	372082
184	24439	371871
185	24566	371661
186	24675	371181
187	24799	370940
188	24947	371047
189	25065	370702
190	25185	370396
191	25319	370300
192	25535	371384
193	25688	371554
194	25830	371554
195	25976	371624
196	26102	371397
197	26227	371162
198	26361	371049
199	26486	370810
200	26577	370105
201	26724	370174
202	26795	369195
203	26934	369161
204	27073	369126
205	27179	368644
206	27345	368964
207	27505	369204
208	27611	368728
209	27722	368316
210	27870	368395
211	27993	368145
212	28095	367619
213	28186	366953
214	28313	366764
215	28458	366792
216	28619	367041
